born,gender,result,group
1987,Dame,59:10,10KM
1988,Dame,59:12,10KM
1899,Dame,59:13,10KM
1958,Dame,59:15,10KM
1987,Hea,59:16,10KM
1989,Dame,59:16,10KM
1963,Dame,59:18,10KM
1982,Dame,59:19,10KM
1982,Dame,59:20,10KM
1973,Dame,59:21,10KM
1987,Hea,59:22,10KM
1974,Hea,59:24,10KM
1972,Dame,59:24,10KM
1986,Dame,59:25,10KM
1899,Dame,59:27,10KM
1979,Hea,59:29,10KM
1993,Dame,59:30,10KM
1988,Dame,59:30,10KM
1968,Hea,59:31,10KM
1990,Dame,59:36,10KM
1973,Hea,59:37,10KM
1985,Dame,59:39,10KM
1990,Dame,59:42,10KM
1990,Dame,59:43,10KM
1971,Dame,59:45,10KM
1974,Dame,59:47,10KM
1980,Dame,59:47,10KM
1984,Dame,59:48,10KM
1981,Dame,59:49,10KM
1990,Hea,59:50,10KM
1993,Hea,59:50,10KM
1988,Hea,59:55,10KM
1981,Hea,59:56,10KM
1990,Dame,59:56,10KM
1992,Dame,59:56,10KM
1984,Hea,59:58,10KM
1984,Hea,59:59,10KM
1965,Dame,1:00:00,10KM
1962,Hea,1:00:03,10KM
1963,Dame,1:00:03,10KM
1991,Dame,1:00:04,10KM
2001,Dame,1:00:05,10KM
1982,Dame,1:00:06,10KM
1975,Hea,1:00:08,10KM
1961,Hea,1:00:08,10KM
1989,Dame,1:00:09,10KM
1988,Dame,1:00:12,10KM
1950,Hea,1:00:13,10KM
1980,Hea,1:00:14,10KM
1972,Hea,1:00:24,10KM
1987,Hea,1:00:25,10KM
1983,Hea,1:00:26,10KM
1960,Hea,1:00:30,10KM
1985,Hea,1:00:35,10KM
1987,Hea,1:00:35,10KM
1991,Dame,1:00:35,10KM
1951,Hea,1:00:36,10KM
1987,Dame,1:00:38,10KM
1990,Dame,1:00:41,10KM
1988,Hea,1:00:42,10KM
1971,Dame,1:00:44,10KM
1990,Hea,1:00:47,10KM
1970,Hea,1:00:49,10KM
1976,Dame,1:00:49,10KM
1985,Dame,1:00:49,10KM
1992,Dame,1:00:49,10KM
1994,Hea,1:00:53,10KM
1986,Dame,1:00:54,10KM
1983,Dame,1:00:55,10KM
1953,Hea,1:00:55,10KM
1977,Dame,1:00:57,10KM
1989,Dame,1:00:57,10KM
1986,Dame,1:01:01,10KM
1987,Hea,1:01:04,10KM
1988,Dame,1:01:05,10KM
1988,Hea,1:01:07,10KM
2016,Hea,1:01:09,10KM
1963,Hea,1:01:09,10KM
1958,Hea,1:01:10,10KM
1987,Hea,1:01:11,10KM
1966,Dame,1:01:13,10KM
1987,Dame,1:01:13,10KM
1977,Hea,1:01:13,10KM
1976,Dame,1:01:14,10KM
1978,Dame,1:01:17,10KM
1992,Hea,1:01:20,10KM
1980,Dame,1:01:20,10KM
1985,Hea,1:01:25,10KM
1972,Hea,1:01:26,10KM
1974,Dame,1:01:27,10KM
1984,Hea,1:01:28,10KM
1970,Hea,1:01:32,10KM
1976,Dame,1:01:33,10KM
1961,Dame,1:01:36,10KM
2016,Hea,1:01:38,10KM
1989,Dame,1:01:39,10KM
1981,Hea,1:01:39,10KM
1993,Hea,1:01:40,10KM
1968,Hea,1:01:40,10KM
1971,Dame,1:01:41,10KM
1983,Dame,1:01:42,10KM
1991,Dame,1:01:43,10KM
1974,Dame,1:01:44,10KM
2016,Hea,1:01:46,10KM
1986,Dame,1:01:50,10KM
1972,Dame,1:01:51,10KM
1974,Dame,1:01:52,10KM
1983,Hea,1:01:56,10KM
1979,Dame,1:01:57,10KM
1985,Dame,1:01:57,10KM
1956,Hea,1:01:59,10KM
1980,Dame,1:02:02,10KM
1981,Dame,1:02:03,10KM
1987,Dame,1:02:04,10KM
1985,Hea,1:02:04,10KM
1970,Hea,1:02:05,10KM
1975,Dame,1:02:05,10KM
1986,Hea,1:02:05,10KM
1967,Hea,1:02:10,10KM
1899,Dame,1:02:10,10KM
1979,Hea,1:02:12,10KM
1986,Dame,1:02:19,10KM
1984,Hea,1:02:22,10KM
1981,Dame,1:02:24,10KM
1959,Dame,1:02:26,10KM
1899,Hea,1:02:27,10KM
1974,Dame,1:02:29,10KM
1963,Dame,1:02:30,10KM
2016,Dame,1:02:33,10KM
1979,Dame,1:02:36,10KM
1970,Dame,1:02:37,10KM
1977,Dame,1:02:38,10KM
1959,Dame,1:02:38,10KM
1984,Hea,1:02:41,10KM
1989,Dame,1:02:45,10KM
1982,Dame,1:02:47,10KM
1965,Hea,1:02:53,10KM
1983,Dame,1:02:54,10KM
1986,Hea,1:02:57,10KM
1982,Hea,1:03:00,10KM
1988,Hea,1:03:02,10KM
1967,Hea,1:03:03,10KM
1983,Hea,1:03:06,10KM
1989,Hea,1:03:07,10KM
1976,Dame,1:03:12,10KM
1981,Dame,1:03:13,10KM
1966,Dame,1:03:15,10KM
1979,Hea,1:03:17,10KM
1984,Dame,1:03:17,10KM
1979,Dame,1:03:21,10KM
1970,Hea,1:03:33,10KM
1968,Dame,1:03:36,10KM
1983,Dame,1:03:40,10KM
1996,Hea,1:03:42,10KM
1979,Hea,1:03:43,10KM
1960,Hea,1:03:45,10KM
1989,Dame,1:03:46,10KM
1986,Dame,1:03:48,10KM
1974,Dame,1:03:50,10KM
1973,Hea,1:03:53,10KM
1977,Dame,1:03:58,10KM
1967,Dame,1:03:58,10KM
1993,Dame,1:03:59,10KM
1957,Dame,1:04:05,10KM
1982,Dame,1:04:05,10KM
1991,Dame,1:04:05,10KM
1948,Hea,1:04:10,10KM
1986,Hea,1:04:12,10KM
1958,Dame,1:04:15,10KM
1990,Hea,1:04:20,10KM
1984,Dame,1:04:23,10KM
1990,Dame,1:04:23,10KM
1948,Dame,1:04:29,10KM
1993,Dame,1:04:38,10KM
1992,Dame,1:04:40,10KM
1986,Dame,1:04:41,10KM
1986,Dame,1:04:43,10KM
1987,Dame,1:04:43,10KM
1963,Dame,1:04:44,10KM
1993,Hea,1:04:45,10KM
1985,Hea,1:04:46,10KM
1978,Dame,1:04:47,10KM
1963,Dame,1:04:56,10KM
1963,Dame,1:04:57,10KM
1961,Hea,1:04:59,10KM
1992,Dame,1:05:00,10KM
1976,Dame,1:05:04,10KM
1989,Hea,1:05:06,10KM
1983,Hea,1:05:08,10KM
1983,Dame,1:05:10,10KM
1986,Dame,1:05:17,10KM
1989,Dame,1:05:24,10KM
1987,Dame,1:05:42,10KM
1950,Hea,1:05:47,10KM
1960,Hea,1:05:51,10KM
1977,Dame,1:06:00,10KM
1984,Dame,1:06:13,10KM
1984,Hea,1:06:17,10KM
1984,Dame,1:06:19,10KM
1987,Hea,1:06:30,10KM
1970,Dame,1:06:35,10KM
1976,Dame,1:06:38,10KM
1966,Dame,1:06:42,10KM
1952,Hea,1:06:43,10KM
1979,Dame,1:06:45,10KM
1987,Hea,1:06:45,10KM
1981,Dame,1:06:48,10KM
1989,Dame,1:06:52,10KM
1982,Dame,1:07:03,10KM
1976,Hea,1:07:03,10KM
1981,Dame,1:07:04,10KM
1991,Dame,1:07:05,10KM
1973,Dame,1:07:05,10KM
1988,Dame,1:07:06,10KM
1988,Dame,1:07:06,10KM
1983,Hea,1:07:07,10KM
1973,Dame,1:07:08,10KM
1983,Dame,1:07:10,10KM
1962,Hea,1:07:13,10KM
1979,Dame,1:07:13,10KM
1985,Dame,1:07:17,10KM
1982,Dame,1:07:20,10KM
1979,Dame,1:07:29,10KM
1954,Dame,1:07:33,10KM
1984,Dame,1:07:59,10KM
1990,Hea,1:08:03,10KM
1979,Dame,1:08:04,10KM
1988,Dame,1:08:06,10KM
1961,Hea,1:08:07,10KM
1989,Dame,1:08:10,10KM
1981,Dame,1:08:11,10KM
1978,Dame,1:08:11,10KM
1970,Dame,1:08:19,10KM
1957,Hea,1:08:30,10KM
1986,Dame,1:08:41,10KM
1955,Dame,1:08:44,10KM
1987,Dame,1:08:47,10KM
1960,Hea,1:08:56,10KM
1964,Dame,1:08:56,10KM
1960,Hea,1:08:59,10KM
1982,Hea,1:09:04,10KM
1989,Dame,1:09:06,10KM
1899,Dame,1:09:17,10KM
1987,Dame,1:09:20,10KM
1956,Dame,1:09:31,10KM
1989,Dame,1:09:32,10KM
1983,Hea,1:09:33,10KM
1987,Dame,1:09:34,10KM
1974,Dame,1:09:38,10KM
1974,Hea,1:10:05,10KM
1988,Hea,1:10:29,10KM
1984,Dame,1:10:41,10KM
1973,Hea,1:10:44,10KM
1963,Hea,1:11:00,10KM
1982,Dame,1:11:35,10KM
1985,Dame,1:11:47,10KM
1989,Dame,1:11:57,10KM
1979,Dame,1:12:02,10KM
1987,Dame,1:12:04,10KM
1983,Dame,1:12:24,10KM
1968,Dame,1:12:25,10KM
1982,Hea,1:12:46,10KM
1991,Hea,1:13:02,10KM
1966,Dame,1:13:56,10KM
1981,Hea,1:14:02,10KM
1943,Hea,1:14:10,10KM
1978,Dame,1:14:28,10KM
1993,Dame,1:15:25,10KM
1984,Dame,1:15:30,10KM
1958,Dame,1:15:38,10KM
1990,Hea,1:15:44,10KM
1979,Dame,1:16:18,10KM
2001,Hea,1:16:40,10KM
1970,Hea,1:16:44,10KM
1984,Dame,1:17:05,10KM
1982,Hea,1:17:27,10KM
1955,Dame,1:17:43,10KM
1966,Dame,1:17:49,10KM
1971,Hea,1:17:59,10KM
1985,Hea,1:18:13,10KM
1966,Dame,1:18:33,10KM
1969,Hea,1:18:59,10KM
1961,Hea,1:19:01,10KM
1953,Dame,1:20:08,10KM
1955,Hea,1:23:22,10KM
1967,Dame,1:25:50,10KM
1972,Hea,1:25:59,10KM
1978,Hea,1:27:49,10KM
1972,Dame,1:27:56,10KM
1949,Hea,1:50:12,10KM
